id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
6400,TIBALDI,45.44119,9.17813,Private room,100.0,4,12,,0.14,1,358,Milán,0
23986,NAVIGLI,45.44806,9.17373,Entire home/apt,150.0,1,15,,0.21,1,363,Milán,0
28300,SARPI,45.47647,9.17359,Private room,180.0,1,8,,0.11,1,365,Milán,0
32119,VIALE MONZA,45.52014,9.223,Entire home/apt,75.0,2,15,,0.23,3,200,Milán,0
32649,VIALE MONZA,45.51874,9.22495,Entire home/apt,71.0,2,29,,0.71,3,308,Milán,0
37256,BUENOS AIRES - VENEZIA,45.46884,9.20777,Private room,55.0,2,34,,0.49,2,0,Milán,0
40470,VIALE MONZA,45.52023,9.22747,Entire home/apt,75.0,3,37,,0.33,2,350,Milán,0
42732,MAGENTA - S. VITTORE,45.45814,9.17654,Entire home/apt,199.0,2,14,,0.2,2,362,Milán,0
46536,VIALE MONZA,45.52276,9.22478,Entire home/apt,76.0,2,27,,0.23,3,150,Milán,0
55055,BUENOS AIRES - VENEZIA,45.48096,9.21686,Entire home/apt,145.0,3,2,,0.03,1,365,Milán,0
59226,CENTRALE,45.48201,9.19809,Entire home/apt,80.0,2,7,,0.06,1,89,Milán,0
65142,CENTRALE,45.48027,9.20247,Entire home/apt,52.0,20,353,,3.11,1,191,Milán,0
69749,XXII MARZO,45.46756,9.20806,Entire home/apt,140.0,2,95,,0.78,5,87,Milán,0
70591,SARPI,45.48164,9.17898,Private room,100.0,1,165,,1.42,1,364,Milán,0
73892,BRERA,45.46976,9.19201,Entire home/apt,101.0,2,84,,0.78,3,356,Milán,0
74835,DUOMO,45.46968,9.17862,Entire home/apt,280.0,7,3,,0.03,1,0,Milán,0
76671,TICINESE,45.4563,9.17642,Entire home/apt,80.0,3,2,,0.02,1,242,Milán,0
77958,BRERA,45.4701,9.19275,Entire home/apt,100.0,2,70,,0.59,3,361,Milán,0
79696,TICINESE,45.44892,9.18005,Entire home/apt,90.0,2,45,,0.64,4,111,Milán,0
81202,ISOLA,45.48965,9.19642,Entire home/apt,79.0,3,10,,0.22,1,313,Milán,0
81908,BANDE NERE,45.45474,9.14209,Entire home/apt,250.0,7,4,,0.03,1,365,Milán,0
82227,WASHINGTON,45.46389,9.16357,Entire home/apt,70.0,3,6,,0.08,1,364,Milán,0
82635,UMBRIA - MOLISE,45.45745,9.21752,Entire home/apt,90.0,5,4,,0.06,1,87,Milán,0
84741,PARCO FORLANINI - ORTICA,45.46935,9.24505,Private room,23.0,2,464,,4.11,2,0,Milán,0
84903,LAMBRATE,45.4726,9.241,Entire home/apt,45.0,2,37,,1.02,1,0,Milán,0
85798,LAMBRATE,45.47214,9.24527,Entire home/apt,70.0,1,59,,0.71,3,22,Milán,0
88130,VILLAPIZZONE,45.49764,9.14533,Entire home/apt,195.0,2,6,,0.06,1,363,Milán,0
90830,NAVIGLI,45.44678,9.16347,Entire home/apt,110.0,2,12,,0.17,1,358,Milán,0
92978,NAVIGLI,45.44811,9.1724,Private room,30.0,2,11,,11.0,1,358,Milán,0
93025,GUASTALLA,45.47169,9.19748,Entire home/apt,90.0,2,62,,0.73,1,0,Milán,0
93232,XXII MARZO,45.4658,9.21551,Private room,55.0,5,10,,0.08,1,364,Milán,0
93888,CENTRALE,45.48336,9.20513,Entire home/apt,70.0,1,444,,4.7,4,8,Milán,0
94233,ISOLA,45.48903,9.19147,Entire home/apt,95.0,1,38,,0.36,4,192,Milán,0
98119,ISOLA,45.48866,9.19323,Private room,65.0,2,33,,0.29,4,191,Milán,0
98500,CITTA' STUDI,45.48539,9.22655,Entire home/apt,230.0,1,11,,0.11,4,365,Milán,0
99234,LAMBRATE,45.4712,9.24669,Private room,43.0,1,95,,1.05,3,3,Milán,0
101087,STADERA,45.43079,9.18234,Entire home/apt,60.0,3,8,,0.07,1,1,Milán,0
101550,S. SIRO,45.47589,9.12361,Private room,17.0,90,51,,0.6,2,365,Milán,0
102817,S. CRISTOFORO,45.44465,9.15096,Entire home/apt,55.0,3,541,,4.81,3,321,Milán,0
104449,ISOLA,45.48831,9.19081,Entire home/apt,120.0,2,124,,1.02,2,177,Milán,0
105082,BUENOS AIRES - VENEZIA,45.48106,9.20968,Private room,76.0,2,9,,0.09,2,364,Milán,0
106345,CENTRALE,45.48116,9.20462,Private room,60.0,1,27,,0.26,1,365,Milán,0
109384,WASHINGTON,45.46358,9.15732,Entire home/apt,80.0,2,146,,1.22,1,284,Milán,0
122514,GIAMBELLINO,45.45032,9.15218,Entire home/apt,50.0,2,46,,0.45,1,323,Milán,0
136364,BUENOS AIRES - VENEZIA,45.47703,9.2081,Private room,90.0,2,2,,0.02,3,0,Milán,0
138071,NAVIGLI,45.45195,9.16921,Entire home/apt,98.0,1,67,,0.58,1,227,Milán,0
140134,XXII MARZO,45.46583,9.20955,Private room,49.0,1,247,,2.31,5,89,Milán,0
140874,ISOLA,45.4938,9.18515,Private room,49.0,1,123,,1.02,1,355,Milán,0
141833,DUOMO,45.46024,9.18063,Entire home/apt,180.0,15,79,,0.78,7,190,Milán,0
142784,PADOVA,45.50301,9.22055,Private room,41.0,1,127,,1.07,1,0,Milán,0
143329,BUENOS AIRES - VENEZIA,45.48263,9.21557,Entire home/apt,72.0,3,48,,0.72,1,306,Milán,0
143674,ISOLA,45.49,9.18261,Private room,31.0,3,186,,1.55,1,0,Milán,0
155720,NAVIGLI,45.44512,9.16682,Private room,40.0,1,135,,1.2,4,222,Milán,0
161605,UMBRIA - MOLISE,45.45666,9.2235,Private room,130.0,3,2,,0.02,2,364,Milán,0
169871,BUENOS AIRES - VENEZIA,45.47695,9.2081,Private room,90.0,1,5,,0.05,3,0,Milán,0
171017,LORETO,45.495,9.21591,Entire home/apt,40.0,2,310,,2.83,1,257,Milán,0
172600,DE ANGELI - MONTE ROSA,45.48229,9.14725,Entire home/apt,59.0,2,32,,0.55,1,43,Milán,0
178992,TICINESE,45.44593,9.17944,Entire home/apt,43.0,30,0,,0.0,47,0,Milán,0
179197,TICINESE,45.45034,9.17841,Entire home/apt,75.0,1,344,,3.0,1,0,Milán,0
189441,BOVISASCA,45.51503,9.15899,Private room,35.0,2,113,,1.05,1,180,Milán,0
189457,WASHINGTON,45.46267,9.15929,Entire home/apt,145.0,2,35,,0.29,1,362,Milán,0
190321,BANDE NERE,45.45722,9.14877,Entire home/apt,40.0,2,1,,0.01,1,0,Milán,0
205299,TIBALDI,45.43908,9.18011,Private room,30.0,7,216,,2.93,1,59,Milán,0
206450,PORTA ROMANA,45.45238,9.20745,Entire home/apt,95.0,2,98,,0.82,1,308,Milán,0
214100,WASHINGTON,45.45737,9.15482,Entire home/apt,65.0,3,0,,0.0,1,178,Milán,0
215775,BUENOS AIRES - VENEZIA,45.47351,9.21983,Entire home/apt,75.0,3,12,,0.12,1,89,Milán,0
218379,NAVIGLI,45.45017,9.17305,Private room,90.0,2,9,,0.15,3,315,Milán,0
222900,TORTONA,45.4502,9.16066,Entire home/apt,70.0,30,53,,0.47,1,0,Milán,0
224432,XXII MARZO,45.46433,9.20965,Entire home/apt,74.0,2,152,,1.35,5,70,Milán,0
226939,VILLAPIZZONE,45.50001,9.14531,Private room,70.0,2,4,,0.06,1,365,Milán,0
227032,CITTA' STUDI,45.48317,9.23306,Entire home/apt,250.0,7,10,,0.09,1,365,Milán,0
233795,BRERA,45.47095,9.1843,Entire home/apt,270.0,1,68,,0.89,5,365,Milán,0
234090,BUENOS AIRES - VENEZIA,45.47523,9.20644,Private room,45.0,2,118,,1.11,4,0,Milán,0
234244,TICINESE,45.45768,9.17713,Entire home/apt,210.0,3,139,,1.3,3,61,Milán,0
253394,GRATOSOGLIO - TICINELLO,45.4087,9.17379,Private room,27.0,30,220,,1.93,1,308,Milán,0
255104,DUOMO,45.46137,9.18744,Entire home/apt,250.0,1,126,,1.07,1,365,Milán,0
255276,TIBALDI,45.44187,9.1825,Shared room,40.0,7,0,,0.0,2,363,Milán,0
255543,TICINESE,45.44281,9.18019,Private room,29.0,1,279,,2.5,1,352,Milán,0
256390,BUENOS AIRES - VENEZIA,45.47104,9.21638,Entire home/apt,135.0,3,6,,0.1,1,268,Milán,0
256399,VIGENTINA,45.44549,9.19737,Entire home/apt,60.0,2,8,,0.07,2,132,Milán,0
258000,CENTRALE,45.48437,9.20399,Entire home/apt,68.0,1,259,,2.73,4,8,Milán,0
272426,SARPI,45.48204,9.17475,Entire home/apt,200.0,2,6,,0.05,1,365,Milán,0
279531,BUENOS AIRES - VENEZIA,45.47526,9.20625,Private room,35.0,1,0,,0.0,4,0,Milán,0
281710,GUASTALLA,45.46913,9.20076,Entire home/apt,83.0,2,77,,1.32,1,349,Milán,0
284449,BUENOS AIRES - VENEZIA,45.48319,9.21503,Entire home/apt,59.0,4,173,,1.51,1,252,Milán,0
287030,BUENOS AIRES - VENEZIA,45.4828,9.2143,Entire home/apt,56.0,1,26,,0.23,2,338,Milán,0
287066,BICOCCA,45.51424,9.21428,Entire home/apt,22.0,30,2,,0.02,1,294,Milán,0
295967,BOVISASCA,45.5147,9.1596,Private room,45.0,1,29,,0.29,1,364,Milán,0
297007,GARIBALDI REPUBBLICA,45.48445,9.18339,Private room,38.0,1,344,,3.07,1,321,Milán,0
300780,GHISOLFA,45.49052,9.15377,Entire home/apt,70.0,5,6,,0.07,2,365,Milán,0
301889,BUENOS AIRES - VENEZIA,45.47526,9.20625,Entire home/apt,464.0,2,33,,0.34,4,128,Milán,0
302491,RIPAMONTI,45.43277,9.20212,Private room,43.0,60,2,,0.03,3,173,Milán,0
302492,RIPAMONTI,45.43332,9.20409,Private room,45.0,5,0,,0.0,3,365,Milán,0
303469,BANDE NERE,45.46009,9.14964,Entire home/apt,70.0,60,12,,0.51,2,283,Milán,0
304050,XXII MARZO,45.45709,9.21531,Private room,39.0,1,207,,1.97,2,314,Milán,0
309905,TICINESE,45.44383,9.1786,Entire home/apt,100.0,2,50,,0.49,1,351,Milán,0
312428,TICINESE,45.45129,9.17867,Entire home/apt,85.0,6,17,,0.4,1,0,Milán,0
317024,BUENOS AIRES - VENEZIA,45.47663,9.20522,Private room,70.0,1,2,,0.02,1,0,Milán,0
326369,PORTELLO,45.4825,9.15424,Entire home/apt,85.0,3,4,,0.04,1,0,Milán,0
329995,BUENOS AIRES - VENEZIA,45.48553,9.2163,Private room,63.0,2,42,,0.38,2,0,Milán,0
332277,SACCO,45.51761,9.11966,Private room,80.0,2,21,,0.29,1,364,Milán,0
333223,MAGENTA - S. VITTORE,45.46097,9.16431,Private room,500.0,1,2,,0.02,5,365,Milán,0
335766,TICINESE,45.45206,9.18101,Entire home/apt,180.0,4,11,,0.1,1,334,Milán,0
336724,BRERA,45.47777,9.18711,Entire home/apt,129.0,2,102,,1.12,1,147,Milán,0
340240,LAMBRATE,45.48174,9.24407,Private room,30.0,1,16,,0.15,1,358,Milán,0
341076,PARCO LAMBRO - CIMIANO,45.49694,9.23807,Entire home/apt,68.0,3,35,,0.31,1,365,Milán,0
344791,RONCHETTO SUL NAVIGLIO,45.43835,9.15247,Private room,33.0,3,68,,0.62,3,71,Milán,0
346020,UMBRIA - MOLISE,45.45663,9.22249,Entire home/apt,57.0,3,0,,0.0,1,256,Milán,0
348448,BRERA,45.47617,9.18873,Entire home/apt,59.0,1,54,,0.5,1,323,Milán,0
364897,TICINESE,45.45461,9.17554,Entire home/apt,93.0,2,43,,0.41,1,364,Milán,0
364919,BUENOS AIRES - VENEZIA,45.48395,9.21534,Entire home/apt,179.0,7,9,,0.13,1,356,Milán,0
365083,BRERA,45.47473,9.18526,Private room,50.0,1,10,,0.16,1,365,Milán,0
365118,S. CRISTOFORO,45.44367,9.15953,Entire home/apt,220.0,3,10,,0.11,1,365,Milán,0
367858,TORTONA,45.45462,9.16856,Entire home/apt,68.0,2,46,,0.59,1,364,Milán,0
370033,BUENOS AIRES - VENEZIA,45.47547,9.20428,Entire home/apt,80.0,5,15,,0.45,3,0,Milán,0
374326,BUENOS AIRES - VENEZIA,45.47336,9.2148,Private room,66.0,2,28,,1.02,1,5,Milán,0
375429,PARCO FORLANINI - ORTICA,45.46902,9.24435,Entire home/apt,69.0,1,3,,0.03,2,358,Milán,0
375710,SARPI,45.47898,9.17429,Entire home/apt,28.0,1,63,,0.56,3,233,Milán,0
379677,BOVISA,45.50024,9.16973,Entire home/apt,500.0,3,6,,0.05,1,365,Milán,0
380369,ISOLA,45.48874,9.18363,Entire home/apt,165.0,1,0,,0.0,1,365,Milán,0
381512,DUOMO,45.46809,9.18266,Entire home/apt,300.0,1,33,,0.32,3,362,Milán,0
381807,ISOLA,45.4868,9.19233,Entire home/apt,40.0,2,16,,0.35,1,177,Milán,0
383918,TICINESE,45.44881,9.17843,Entire home/apt,130.0,5,11,,0.28,2,351,Milán,0
385378,SARPI,45.48148,9.17603,Private room,80.0,2,40,,0.37,4,364,Milán,0
385469,MAGENTA - S. VITTORE,45.46403,9.17442,Entire home/apt,70.0,2,2,,0.02,2,89,Milán,0
386235,LORETO,45.48957,9.21325,Entire home/apt,350.0,3,2,,0.02,1,0,Milán,0
387543,STADERA,45.43685,9.18413,Entire home/apt,35.0,3,26,,0.24,1,0,Milán,0
390076,VIGENTINA,45.44975,9.19208,Entire home/apt,50.0,30,13,,0.17,2,244,Milán,0
391334,PADOVA,45.50292,9.23328,Private room,27.0,1,22,,0.2,5,365,Milán,0
392515,CENTRALE,45.48934,9.20258,Private room,55.0,1,98,,0.96,4,201,Milán,0
394443,UMBRIA - MOLISE,45.45281,9.21758,Entire home/apt,107.0,2,47,,0.5,1,311,Milán,0
395037,BUENOS AIRES - VENEZIA,45.4801,9.21057,Entire home/apt,109.0,4,4,,0.05,1,0,Milán,0
396939,CENTRALE,45.48879,9.20251,Private room,41.0,1,553,,5.16,4,201,Milán,0
396940,WASHINGTON,45.46142,9.16123,Private room,80.0,1,19,,0.25,4,201,Milán,0
397875,PARCO FORLANINI - ORTICA,45.46984,9.24201,Entire home/apt,43.0,2,66,,0.59,1,137,Milán,0
399142,SARPI,45.48276,9.16772,Entire home/apt,50.0,7,2,,0.02,3,364,Milán,0
399879,TORTONA,45.45087,9.16698,Entire home/apt,45.0,2,7,,0.09,3,71,Milán,0
400220,SARPI,45.48204,9.16813,Entire home/apt,85.0,3,47,,0.47,2,4,Milán,0
400300,GUASTALLA,45.46646,9.20391,Entire home/apt,275.0,2,3,,0.06,2,363,Milán,0
401916,WASHINGTON,45.4614,9.1491,Entire home/apt,220.0,7,8,,0.11,1,0,Milán,0
402406,GARIBALDI REPUBBLICA,45.48396,9.18284,Entire home/apt,139.0,5,2,,0.04,2,93,Milán,0
402422,LODI - CORVETTO,45.44118,9.22237,Entire home/apt,70.0,2,7,,0.08,1,364,Milán,0
403041,ISOLA,45.49323,9.18322,Entire home/apt,110.0,2,7,,0.06,1,358,Milán,0
403602,DUOMO,45.46116,9.18731,Entire home/apt,125.0,1,21,,0.29,1,361,Milán,0
403627,SARPI,45.48316,9.17305,Entire home/apt,60.0,2,17,,0.15,1,365,Milán,0
404938,VIALE MONZA,45.51031,9.22374,Private room,40.0,2,16,,0.21,2,0,Milán,0
405055,S. CRISTOFORO,45.44549,9.15857,Entire home/apt,98.0,3,17,,0.16,1,365,Milán,0
405061,VIALE MONZA,45.51163,9.22556,Private room,40.0,2,4,,0.05,2,89,Milán,0
405089,PADOVA,45.50171,9.22532,Private room,70.0,3,3,,0.03,1,363,Milán,0
406218,WASHINGTON,45.46623,9.15929,Private room,60.0,4,5,,0.18,1,363,Milán,0
406353,NAVIGLI,45.44866,9.17369,Entire home/apt,125.0,3,5,,0.04,1,365,Milán,0
407859,NAVIGLI,45.45207,9.17248,Private room,150.0,1,0,,0.0,1,365,Milán,0
409123,GIAMBELLINO,45.45158,9.15188,Private room,27.0,3,15,,0.19,1,313,Milán,0
409414,CENTRALE,45.48058,9.19948,Private room,98.0,1,18,,0.26,3,365,Milán,0
409509,BUENOS AIRES - VENEZIA,45.47728,9.20178,Entire home/apt,160.0,7,2,,0.03,3,10,Milán,0
409985,ISOLA,45.49162,9.18314,Entire home/apt,107.0,2,81,,0.92,1,327,Milán,0
410480,CITTA' STUDI,45.48072,9.237,Shared room,25.0,1,4,,0.15,2,38,Milán,0
411118,BUENOS AIRES - VENEZIA,45.47895,9.21853,Private room,51.0,2,66,,0.59,1,298,Milán,0
411853,ISOLA,45.49033,9.18681,Entire home/apt,66.0,2,5,,0.1,1,363,Milán,0
412833,DUOMO,45.461,9.19179,Entire home/apt,249.0,2,173,,2.23,1,275,Milán,0
413624,BUENOS AIRES - VENEZIA,45.47177,9.22035,Private room,45.0,1,4,,0.04,1,0,Milán,0
414025,TICINESE,45.45551,9.17592,Private room,35.0,1,13,,0.12,1,0,Milán,0
414257,VIGENTINA,45.45455,9.19759,Entire home/apt,80.0,4,8,,0.08,7,178,Milán,0
414465,VILLAPIZZONE,45.49608,9.1381,Entire home/apt,300.0,2,83,,0.93,1,133,Milán,0
414687,CITTA' STUDI,45.48071,9.22748,Private room,50.0,6,20,,0.44,1,201,Milán,0
415534,SARPI,45.48147,9.17606,Entire home/apt,120.0,7,19,,0.18,1,358,Milán,0
415940,SARPI,45.47967,9.17291,Private room,88.0,2,0,,0.0,1,365,Milán,0
416072,LORETO,45.48973,9.21783,Entire home/apt,84.0,2,31,,0.29,2,177,Milán,0
416539,CENTRALE,45.4793,9.19937,Private room,140.0,1,6,,0.09,3,365,Milán,0
417903,SARPI,45.47973,9.17676,Private room,50.0,2,171,,1.6,4,252,Milán,0
419058,PARCO LAMBRO - CIMIANO,45.49193,9.23301,Private room,54.0,1,16,,0.23,1,365,Milán,0
419218,LORETO,45.49173,9.222817,Entire home/apt,70.0,3,3,,0.03,1,357,Milán,0
420988,CENTRALE,45.47842,9.19915,Entire home/apt,80.0,4,70,,0.7,1,198,Milán,0
422744,BRERA,45.48001,9.18641,Entire home/apt,80.0,15,5,,0.07,1,192,Milán,0
422838,TIBALDI,45.44114,9.17828,Entire home/apt,40.0,365,140,,1.26,1,364,Milán,0
425087,DUOMO,45.45979,9.18407,Private room,150.0,2,7,,0.13,1,364,Milán,0
425205,NAVIGLI,45.45236,9.17744,Entire home/apt,30.0,1,3,,0.03,1,0,Milán,0
425548,NAVIGLI,45.44915,9.16368,Entire home/apt,80.0,3,175,,1.77,2,337,Milán,0
426809,TICINESE,45.45117,9.18076,Entire home/apt,105.0,1,10,,0.09,1,363,Milán,0
426984,RIPAMONTI,45.42658,9.20387,Private room,38.0,1,20,,0.19,1,89,Milán,0
427036,TORTONA,45.45424,9.16192,Private room,30.0,2,3,,0.04,2,358,Milán,0
427204,FORZE ARMATE,45.45991,9.12865,Entire home/apt,120.0,3,11,,0.11,1,191,Milán,0
427820,SARPI,45.48126,9.17609,Private room,65.0,1,72,,0.67,1,365,Milán,0
428714,BAGGIO,45.46666,9.09233,Entire home/apt,75.0,3,9,,0.1,2,362,Milán,0
428754,BANDE NERE,45.46421,9.1415,Entire home/apt,120.0,3,3,,0.08,1,365,Milán,0
429124,GHISOLFA,45.48876,9.15969,Private room,76.0,1,0,,0.0,1,365,Milán,0
430409,S. CRISTOFORO,45.44383,9.15278,Entire home/apt,65.0,2,20,,0.32,1,283,Milán,0
430787,BUENOS AIRES - VENEZIA,45.47611,9.22062,Entire home/apt,45.0,2,22,,0.29,1,284,Milán,0
431265,NAVIGLI,45.45219,9.17702,Private room,55.0,1,113,,1.11,1,314,Milán,0
431719,DUOMO,45.4607,9.18653,Entire home/apt,671.0,3,9,,0.2,1,89,Milán,0
431730,DE ANGELI - MONTE ROSA,45.47284,9.14505,Private room,35.0,2,73,,0.99,1,87,Milán,0
431791,BARONA,45.4369,9.1631,Private room,50.0,1,6,,0.11,1,364,Milán,0
432373,CITTA' STUDI,45.48415,9.2346,Entire home/apt,130.0,3,0,,0.0,1,0,Milán,0
432492,PAGANO,45.47986,9.16357,Entire home/apt,82.0,3,6,,0.06,1,256,Milán,0
434334,DUOMO,45.46132,9.18413,Entire home/apt,110.0,2,400,,4.41,1,98,Milán,0
434379,MAGENTA - S. VITTORE,45.45834,9.17165,Entire home/apt,74.0,7,10,,0.11,5,173,Milán,0
440465,STADERA,45.43202,9.18242,Private room,27.0,1,89,,1.22,3,365,Milán,0
444747,ISOLA,45.49242,9.1872,Entire home/apt,130.0,2,0,,0.0,1,365,Milán,0
445662,ISOLA,45.48791,9.19339,Private room,39.0,5,38,,0.53,4,160,Milán,0
447222,S. CRISTOFORO,45.44507,9.15968,Entire home/apt,85.0,2,8,,0.1,1,223,Milán,0
451086,SARPI,45.47769,9.17984,Entire home/apt,95.0,2,48,,0.66,2,261,Milán,0
451490,DUOMO,45.46004,9.18,Entire home/apt,74.0,5,149,,1.43,2,320,Milán,0
452624,BANDE NERE,45.46127,9.13839,Entire home/apt,85.0,2,4,,0.1,2,363,Milán,0
455638,PADOVA,45.49599,9.22811,Entire home/apt,45.0,1,34,,0.32,1,0,Milán,0
455763,ISOLA,45.49352,9.19127,Private room,38.0,4,71,,0.72,2,0,Milán,0
459147,BUENOS AIRES - VENEZIA,45.47535,9.2103,Entire home/apt,61.0,1,30,,0.4,1,310,Milán,0
460175,SARPI,45.48096,9.1709,Private room,115.0,1,0,,0.0,6,358,Milán,0
461208,BUENOS AIRES - VENEZIA,45.46925,9.20795,Entire home/apt,70.0,2,64,,0.58,1,0,Milán,0
462027,DUOMO,45.46115,9.18211,Entire home/apt,120.0,2,49,,0.44,1,0,Milán,0
462229,VIALE MONZA,45.51837,9.23094,Private room,44.0,2,11,,0.19,2,365,Milán,0
464371,S. CRISTOFORO,45.44745,9.15581,Entire home/apt,120.0,2,16,,0.15,1,364,Milán,0
466141,DUOMO,45.46255,9.1896,Entire home/apt,70.0,1,446,,4.38,1,71,Milán,0
468028,BUENOS AIRES - VENEZIA,45.48024,9.21406,Entire home/apt,88.0,2,52,,1.0,1,357,Milán,0
470276,NAVIGLI,45.44513,9.16566,Private room,50.0,1,92,,0.84,4,7,Milán,0
470284,NAVIGLI,45.44572,9.16718,Private room,33.0,1,13,,0.16,4,365,Milán,0
470295,NAVIGLI,45.44528,9.16734,Private room,35.0,1,195,,1.84,4,354,Milán,0
472998,BANDE NERE,45.45712,9.14246,Private room,40.0,1,20,,0.44,1,181,Milán,0
473121,RIPAMONTI,45.43463,9.20421,Private room,51.0,2,0,,0.0,3,364,Milán,0
478445,VIGENTINA,45.44899,9.19354,Entire home/apt,80.0,3,13,,0.18,1,0,Milán,0
485258,NAVIGLI,45.45097,9.17227,Entire home/apt,30.0,30,111,,1.0,2,305,Milán,0
491033,VIGENTINA,45.45143,9.19403,Private room,59.0,30,1,,0.01,2,362,Milán,0
494968,PARCO LAMBRO - CIMIANO,45.49981,9.24222,Entire home/apt,100.0,1,0,,0.0,1,0,Milán,0
494974,FARINI,45.49472,9.16926,Entire home/apt,41.0,4,19,,0.57,1,191,Milán,0
496359,SCALO ROMANA,45.4382,9.2011,Private room,80.0,1,0,,0.0,3,0,Milán,0
496612,PORTA ROMANA,45.44905,9.19988,Entire home/apt,66.0,3,105,,0.98,9,342,Milán,0
503986,BUENOS AIRES - VENEZIA,45.4837,9.22357,Entire home/apt,53.0,3,75,,0.99,1,0,Milán,0
504777,WASHINGTON,45.45845,9.15358,Entire home/apt,90.0,3,4,,0.04,2,191,Milán,0
509142,XXII MARZO,45.46023,9.20951,Entire home/apt,82.0,3,54,,0.5,2,0,Milán,0
509374,SARPI,45.48057,9.17619,Entire home/apt,280.0,1,5,,0.07,2,0,Milán,0
519218,MAGENTA - S. VITTORE,45.45861,9.17091,Entire home/apt,88.0,1,139,,1.3,1,96,Milán,0
524751,STADERA,45.43723,9.17738,Private room,38.0,3,21,,0.2,1,191,Milán,0
527181,CITTA' STUDI,45.48586,9.22725,Entire home/apt,60.0,365,1,,0.01,1,365,Milán,0
530224,LORETO,45.48966,9.20982,Entire home/apt,80.0,2,13,,0.28,2,354,Milán,0
534099,TICINESE,45.45656,9.17971,Entire home/apt,75.0,3,19,,0.27,1,178,Milán,0
534431,TICINESE,45.44934,9.17982,Private room,50.0,2,141,,1.35,4,101,Milán,0
534941,TIBALDI,45.4386,9.18074,Entire home/apt,90.0,90,0,,0.0,3,313,Milán,0
536375,ISOLA,45.49064,9.18425,Entire home/apt,70.0,1,39,,0.49,4,313,Milán,0
537021,CORSICA,45.4674,9.2317,Private room,40.0,1,131,,1.31,1,359,Milán,0
538175,S. CRISTOFORO,45.4462,9.15515,Entire home/apt,100.0,10,8,,0.11,1,53,Milán,0
538552,GUASTALLA,45.45475,9.20352,Entire home/apt,84.0,2,154,,1.8,3,220,Milán,0
541221,TICINESE,45.45427,9.17764,Entire home/apt,89.0,1,7,,0.12,1,45,Milán,0
544809,PORTA ROMANA,45.44973,9.20314,Entire home/apt,51.0,2,40,,0.4,9,155,Milán,0
547588,GRECO,45.50361,9.2023,Entire home/apt,120.0,4,30,,0.34,2,222,Milán,0
553285,CENTRALE,45.48309,9.20435,Entire home/apt,316.0,4,88,,0.87,30,247,Milán,0
564917,PARCO LAMBRO - CIMIANO,45.49113,9.24909,Private room,25.0,2,7,,0.1,2,364,Milán,0
566637,BUENOS AIRES - VENEZIA,45.48048,9.21135,Entire home/apt,156.0,1,365,,3.39,3,281,Milán,0
567935,TICINESE,45.45599,9.18636,Entire home/apt,58.0,3,322,,3.03,1,328,Milán,0
568065,CENTRALE,45.48327,9.20504,Entire home/apt,70.0,1,231,,2.8,4,8,Milán,0
579191,S. CRISTOFORO,45.44702,9.15458,Entire home/apt,95.0,3,67,,0.82,27,365,Milán,0
581227,S. CRISTOFORO,45.44453,9.16084,Entire home/apt,250.0,2,25,,0.29,2,356,Milán,0
582623,ISOLA,45.48627,9.19064,Entire home/apt,110.0,2,45,,0.42,2,356,Milán,0
584568,GALLARATESE,45.49677,9.12337,Private room,69.0,1,57,,0.53,2,364,Milán,0
586671,TICINESE,45.45032,9.17785,Entire home/apt,24.0,4,86,,1.17,2,0,Milán,0
588273,PAGANO,45.47585,9.16835,Entire home/apt,95.0,3,61,,0.57,4,307,Milán,0
589496,BUENOS AIRES - VENEZIA,45.48226,9.21273,Entire home/apt,60.0,1,195,,2.28,3,94,Milán,0
596139,EX OM - MORIVIONE,45.4422,9.18983,Entire home/apt,38.0,7,0,,0.0,1,303,Milán,0
601343,CENTRALE,45.484,9.20757,Entire home/apt,49.0,1,588,,5.61,45,283,Milán,0
602405,TICINESE,45.45644,9.17875,Entire home/apt,220.0,5,57,,0.53,1,33,Milán,0
605038,SARPI,45.47809,9.18049,Entire home/apt,86.0,2,9,,0.44,1,132,Milán,0
614814,GARIBALDI REPUBBLICA,45.48326,9.18247,Entire home/apt,90.0,2,24,,0.29,2,0,Milán,0
618059,ISOLA,45.48682,9.19255,Private room,50.0,3,7,,0.35,2,365,Milán,0
621791,VIGENTINA,45.45584,9.19557,Entire home/apt,180.0,4,5,,0.05,1,46,Milán,0
625179,XXII MARZO,45.46326,9.213,Private room,50.0,2,90,,1.15,1,0,Milán,0
626619,RIPAMONTI,45.42621,9.20282,Entire home/apt,60.0,1,3,,0.03,8,363,Milán,0
629268,PORTA ROMANA,45.45161,9.20991,Entire home/apt,350.0,2,0,,0.0,1,0,Milán,0
633734,XXII MARZO,45.45762,9.21366,Private room,79.0,1,10,,0.14,1,365,Milán,0
638106,TICINESE,45.45583,9.17492,Private room,80.0,2,9,,0.08,3,0,Milán,0
642939,BANDE NERE,45.45704,9.13728,Entire home/apt,60.0,30,52,,0.49,1,295,Milán,0
645501,MAGENTA - S. VITTORE,45.4597,9.17184,Entire home/apt,81.0,2,8,,0.08,5,240,Milán,0
